cases,deaths,dateRep,cases_per_100k,deaths_per_1m
10043.0,50.0,2020-09-04,15.068920015618982,0.7502200545463995
10707.0,51.0,2020-09-05,16.0652122480566,0.7652244556373275
11412.0,51.0,2020-09-06,17.123022524967023,0.7652244556373275
12685.0,52.0,2020-09-07,19.033082783842158,0.7802288567282555
14227.0,53.0,2020-09-08,21.346761432063253,0.7952332578191835
15392.0,82.0,2020-09-09,23.094774159156362,1.2303608894560953
16543.0,80.0,2020-09-10,24.821780724722174,1.2003520872742393
17727.0,81.0,2020-09-11,26.59830181388805,1.2153564883651673
19326.0,77.0,2020-09-12,28.997505548327435,1.1553388840014553
21010.0,74.0,2020-09-13,31.52424669203971,1.1103256807286714
21352.0,77.0,2020-09-14,32.03739720934944,1.1553388840014553
21025.0,83.0,2020-09-15,31.5467532936761,1.2453652905470232
21668.0,78.0,2020-09-16,32.51153628382277,1.1703432850923834
23000.0,90.0,2020-09-17,34.510122509134376,1.3503960981835192
23476.0,97.0,2020-09-18,35.22433200106255,1.455426905820015
24259.0,118.0,2020-09-19,36.399176606482214,1.770519328729503
25184.0,136.0,2020-09-20,37.78708370739305,2.040598548366207
25753.0,149.0,2020-09-21,38.64083412946685,2.2356557625482707
27500.0,151.0,2020-09-22,41.26210300005197,2.265664564730127
29323.0,161.0,2020-09-23,43.997405318928145,2.4157085756394063
31510.0,178.0,2020-09-24,47.2788678375141,2.6707833941851824
34749.0,197.0,2020-09-25,52.138793350865676,2.955867014912814
37300.0,204.0,2020-09-26,55.966416069161404,3.06089782254931
38919.0,212.0,2020-09-27,58.39562860578265,3.180933031276734
40712.0,211.0,2020-09-28,61.08591772138604,3.1659286301858063
40388.0,213.0,2020-09-29,60.59977512603997,3.195937432367662
42605.0,247.0,2020-09-30,63.92625084789871,3.7060870694592136
43535.0,281.0,2020-10-01,65.32166014935501,4.216236706550766
43815.0,300.0,2020-10-02,65.741783379901,4.501320327278397
43910.0,332.0,2020-10-03,65.8843251902648,4.981461162188093
50740.0,346.0,2020-10-04,76.13233113536863,5.191522777461085
68009.0,362.0,2020-10-05,102.04343137929217,5.431593194915933
76558.0,368.0,2020-10-06,114.87069387192652,5.5216196014615
83957.0,373.0,2020-10-07,125.97245023910413,5.59664160691614
91011.0,372.0,2020-10-08,136.55655476864473,5.581637205825213
101637.0,390.0,2020-10-09,152.5002313678648,5.851716425461916
108533.0,411.0,2020-10-10,162.84726636016876,6.166808848371404
110827.0,443.0,2020-10-11,166.28927597042764,6.6469496832811
100738.0,475.0,2020-10-12,151.1513357097904,7.127090518190796
102117.0,506.0,2020-10-13,153.22044262022936,7.592226952009564
104807.0,573.0,2020-10-14,157.25662651368899,8.597521825101738
110369.0,640.0,2020-10-15,165.60207440046315,9.602816698193914
111807.0,701.0,2020-10-16,167.75970727733858,10.518085164740521
113578.0,750.0,2020-10-17,170.41698671054195,11.253300818195994
114584.0,819.0,2020-10-18,171.92642946028928,12.288604493470025
118693.0,821.0,2020-10-19,178.0917378685516,12.31861329565188
123524.0,851.0,2020-10-20,185.34036403557892,12.76874532837972
127622.0,949.0,2020-10-21,191.4891676026412,14.239176635290663
134585.0,1003.0,2020-10-22,201.93673208225437,15.049414294200774
136845.0,1054.0,2020-10-23,205.3277267288041,15.814638749838103
141741.0,1142.0,2020-10-24,212.67388150292243,17.135026045839766
148582.0,1166.0,2020-10-25,222.93839228922627,17.495131672022037
151391.0,1250.0,2020-10-26,227.15312855566796,18.755501363659988
153478.0,1272.0,2020-10-27,230.28454706334463,19.085598187660406
